attributes,is_diplayed
Authentic Leadership,1
Having Strong Judgement,1
Being Agile & Adaptable,0
Working Under Pressure,1
Emotionally Connected as a Leader,0
Being Ethical,1
Results Oriented,1
Being Purposefully Driven,1
Having an Entrepreneurial Spirit,0
Being an Active Listener,0
Being a Creative Thinker,0
Being a Problem Solver,1
Being a Data Interpreter,1
Being Digitally Literate,0
Being a Team Player,1
Being Human Centric,0
Being an Impactful Communicator,0
Life-long Learner,1
