no,job,attribute_no,education,experience,affiliation,,
1,Finance Manager,18,Degree,5,1,,
2,Legal Manager,18,Degree,5,1,,
3,IT Manager,18,Degree,5,1,,
4,"Governance, Risk & Security Manager",18,Degree,5,1,,
5,Marketing Manager,18,Degree,5,1,,
6,Compliance Manager,18,Degree,5,1,,
7,Human Resource Manager,18,Degree,5,1,,
8,Product Manager,18,Degree,5,1,,
9,Finance Executive,18,Diploma/Degree,3,0,,
10,Chief Sustainability Officer,18,Masters/MBA,10,1,,
11,Chief Product Officer,18,Masters/MBA,10,1,,
12,Chief Technology Officer,18,Masters/MBA,10,1,,
13,Chief Executive Officer,18,Masters/MBA,10,1,,
14,Chief Legal Officer,18,Masters/MBA,10,1,,
15,Chief Marketing Officer,18,Masters/MBA,10,1,,
16,Chief Data Officer,18,Masters/MBA,10,1,,
17,Chief Compliance Officer,18,Masters/MBA,10,1,,
18,Human Resource Director ,18,Degree,10,1,,
19,Chief Finance Officer,18,Degree/Masters,10,1,,
20,Data Scientist,18,Degree,10,1,,
21,Content Writer,18,Diploma/Degree,5,0,,
22,UX Designer,18,Degree,5,0,,
23,AI&ML ,18,Degree,5,0,,
24,Fintech Specialist,18,Degree,5,1,,
25,IOT Specialist,18,Degree,5,1,,
26,Digital Marketing Manager,18,Degree,5,1,,
27,Social Media Manager,18,Degree,5,1,,
28,Cloud Computing Engineer,18,Degree,5,1,,
29,Chat Bot Designer,18,Degree,7,0,,
30,Gig Economy Manager,18,Degree,7,0,,
31,VR 3D Artist,18,Degree,7,0,,
32,Sustainability Manager,18,Degree,7,1,,
33,Algorithm Engineer,18,Degree,7,1,,
34,Bias Auditor,18,Degree,7,1,,
35,Organisational & Human Network Analyst,18,Degree,7,1,,
36,WellBeing Manager,18,Degree,7,1,,
37,Diversity Equity Inclusion,18,Degree,7,1,,
38,HR Analyst,18,Degree,5,1,,
39,Mobile Apps Developer,18,Degree,5,1,,
40,Aerospace Engineer,18,Degree,5,1,,
41,Agricultural Engineer,18,Degree,5,1,,
42,Architecture,18,Degree,5,1,,
43,Architectural and Civil Draft,18,Degree,5,1,,
44,Automotive Engineer,18,Degree,5,1,,
45,Civil Engineers,18,Degree,5,1,,
46,Electrical Engineers,18,Degree,5,1,,
47,Industrial Engineer,18,Degree,5,1,,
48,Chemical Engineer,18,Degree,5,1,,
49,Manufacturing Engineer,18,Degree,5,1,,
50,Fuel Cell Engineer,18,Degree,5,1,,
51,Health Safety Engineer,18,Degree,5,1,,
52,Materials Engineer,18,Degree,5,1,,
53,Mechanical Engineer,18,Degree,5,1,,
54,Environmental Engineer,18,Degree,5,1,,
55,Mining and Geological Engineer,18,Degree,5,1,,
56,Human Factors Engineer and E,18,Degree,5,1,,
57,Nano System Engineer,18,Degree,5,1,,
58,Landscape Architect,18,Degree,5,1,,
59,Non Destructive Test Engineer,18,Degree,5,1,,
60,Mechtronic Engineer,18,Degree,5,1,,
61,Robotics Engineer,18,Degree,5,1,,
62,Petroleum Engineer,18,Degree,5,1,,
63,Wind Energy Engineer,18,Degree,5,1,,
64,Solar Energy Engineer,18,Degree,5,1,,
65,Transportation Engineer,18,Degree,5,1,,
66,Public Relations,18,Degree,5,1,,
67,Technical Writer,18,Degree,5,0,,
68,Editors,18,Diploma/Degree,5,1,,
69,WritersAuthors,18,Diploma/Degree,5,1,,
70,Accountant,18,Degree,5,1,,
71,Auditor,18,Degree,5,1,,
72,Business Continuity,18,Degree,5,1,,
73,Compensation and Benefits Analy,18,Degree,5,1,,
74,Financial Analyst,18,Degree,5,1,,
75,Financial Quantitative Analyst,18,Degree,5,1,,
76,Regulatory Affairs,18,Degree,5,1,,
77,Sales Engineer,18,Diploma/Degree,3,0,,
78,Fraud ExaminersInvestigatorsAna,18,Degree,5,1,,
79,DemonstratorsProduct Promoters,18,SPM/O Level,2,0,,
80,Real Estate Broker,18,SPM/O Level,2,0,,
81,Telemarketers,18,SPM/O Level,2,0,,
82,Construction Manager,18,Diploma/Degree,7,1,,
83,Lawyers,18,Degree,5,1,,
84,Social and community manager,18,Degree,5,1,,
85,Biologist,18,Degree,5,1,,
86,Food Scientist,18,Degree,5,1,,
87,Mircrobiologist,18,Degree,5,1,,
88,Industrial-Organisational Psych,18,Degree,5,1,,
89,Zoologist and Wildlife Biologis,18,Degree,5,1,,
90,Urban & Regional Planners,18,Degree,5,1,,
91,Transportation Planners,18,Degree,5,1,,
92,Sociologist,18,Degree,5,1,,
93,Clinical and Counseling Psychol,18,Degree,5,1,,
94,Food Scientist and Technologist,18,Degree,5,1,,
95,Economist,18,Degree,5,1,,
96,Electrician,18,SPM/O Level,3,0,,
97,Customer Services Manager,18,Diploma/Degree,5,1,,
98,Customer Services Executive,18,SPM/Diploma,3,0,,
99,Software Developer,18,Degree,5,1,,
100,Database Adminstrator,18,Degree,5,0,,
101,Receptionist,18,SPM/O Level,3,0,,
102,Hotel GM,18,Diploma,15,1,,
103,F&B Manager,18,SPM/O Level,7,1,,
104,F&B Captain,18,SPM/O Level,5,1,,
105,Pilot,18,Aviation Certification,5,1,1,99
106,Flight Stewardstewardress,18,SPM/O Level,3,0,,
107,Purchasing Executive,18,Diploma,3,0,,
108,Warehouse Executive,18,Diploma,3,0,,
109,Product Designer,18,Diploma,3,1,,
110,Facility Executive ,18,Diploma,3,0,,
111,Chargeman,18,SPM/O Level,3,0,,
112,Quantity Surveyor,18,Degree,5,1,,
113,Senior Executive Secretary,18,SPM/Certificate,5,1,,
114,Customer Success Manager,18,Diploma/Degree,5,1,,
115,Copywriter,18,Diploma/Degree,5,1,,
116,Project PlannerCoordinator,18,Diploma/Degree,5,1,,
117,Graphic Designer,18,Diploma,5,1,,
118,Sales Executive,18,SPM/O Level,3,0,,
119,Lecturer,18,Masters/MBA/PHD,7,1,,
120,Student Counsellor,18,Degree,5,1,,
121,Business Development Executive,18,Diploma/Degree,3,0,,
122,AfterSales Manager,18,Diploma/Degree,7,0,,
123,Ecommerce Specialist,18,Diploma/Degree,5,0,,
124,Retail Oerations Manager,18,Diploma/Degree,7,1,,
125,Retail Operations Executive,18,Diploma/Degree,3,0,,
126,Sharing Economy Facilitator,18,Diploma,3,1,,
127,Commercial drone engineers,18,Diploma,3,1,,
128,IOT Engineers,18,Degree,5,1,,
129,Metaverse Planner,18,Diploma/Degree,5,1,,
130,Earthquake forecaster,18,Degree,5,1,,
131,Digital Currency Advisor,18,Diploma/Degree,5,1,,
132,Smart Home Designer,18,Diploma/Degree,5,1,,
133,Atmospheric water harvesters,18,Degree,5,1,,
134,Digital privacy managers,18,Diploma/Degree,5,1,,
135,Augmented reality architects,18,Degree,5,1,,
