question,attribute,dimension,is_positive
My actions reflect my core values.,1,1,1
I seek others’ opinions before making up my own mind.,1,1,1
I seek feedback as a way of understanding who I really am as a person.,1,1,1
My morals guide what I do as a leader.,1,1,1
I rarely present a “false” front to others.,1,1,1
I accept the feelings I have about myself,1,1,1
I listen very carefully to the ideas of others before making decisions.,1,1,1
I admit my mistakes to others.,1,1,1
I believe that having a front or a façade is required especially for work.,1,1,0
"At work, I must be seen to be a strong leader no matter what.",1,1,0
"I rarely change my mind even after hearing others, as I know what is the best way forward.",1,1,0
"When making decisions, I employ sound judgement.",2,1,1
I make sound and informed decisions by exercising good judgement.,2,1,1
I make sound decisions even in the face of uncertainty.,2,1,1
I am able to make sound and timely decisions under pressure.,2,1,1
I am capable of maintaining an emotional connection when making a decision.,2,1,1
"In circumstances where there are no clear guidelines to follow, I am able to distinguish between right and wrong.",2,1,1
"I would deeply consider the consequences of my decisions before thinking, speaking and acting.",2,1,1
"In the interest of time, I only take into account one or two factors when making a decision.",2,1,0
I struggle to make decisions in the face of uncertainty.,2,1,0
"Decisions are often made off the cuff, as I find that to be most  effective for me personally",2,1,0
"I am able to sense, perceive, or anticipate the best opportunities which come up in our environment.",3,1,1
I use a broad range of skills and can be applied to other tasks when needed.,3,1,1
"I am ready to learn and are prepared to constantly access, apply and update knowledge.",3,1,1
I am able to re-organize continuously in different team configurations to meet changing requirements and the newly arising challenges.,3,1,1
"I am able to adjust interpersonal styles to achieve goals when working with new teams, co-workers, or customers. ",3,1,1
"I am able to adjust and deal with unpredictable situations, shift focus and take reasonable action.",3,1,1
"I am able to anticipate, prepare for, and learn skills, new tasks, technologies and procedures for future job requirements.",3,1,1
"I remain calm under pressure, handle frustration, and act as a calming influence.",3,1,1
"Once I land on an approach, I tend not to change it.",3,1,0
I see being “adaptable” as being “weak minded” as I am unable to be decisive in my decision making  ,3,1,0
"When things don’t go the way they are suppose to, I get stressed.",3,1,0
I am able to handle difficult or complex work tasks.,4,1,1
I am able to undertake work that requires sustained and focused attention.,4,1,1
I am able to undertake work that involves carrying responsibility for other people or for valuable goods.,4,1,1
"I am able to undertake work whereby the workflow must meet deadlines, take place at a prescribed speed etc.",4,1,1
I am able to undertake work that involves multiple tasks,4,1,1
I am able to undertake work that is susceptible to interruptions.,4,1,1
"I am able to undertake work for which there may be a lack the information, tools, personal assistance needed, or obstacles to carry out the work tasks.",4,1,1
I am able to work in emotionally demanding situations.,4,1,1
"When stressed at work, I often find myself delegating my tasks to others to perform.",4,1,0
"When under stress, I tend to become edgy and irritable with others.",4,1,0
"Being edgy and irritable with others, when I am under stress is perfectly fine to me.",4,1,0
"When things don’t go the way they are suppose to, I get stressed.",4,1,0
I have a good sense of why I have certain feelings most of the time.,5,1,1
I have a good understanding of my own emotions.,5,1,1
I am sensitive to the feelings and emotions of others.,5,1,1
I have a good understanding of the emotions of people around me.,5,1,1
I always set goals for myself and then try my best to achieve them.,5,1,1
I would always encourage myself to try my best.,5,1,1
I am able to control my temper and handle difficulties rationally.,5,1,1
I have a good control of my own emotions.,5,1,1
I tend to blame others for my loss of temper.,5,1,0
I often don’t understand why others feel the way that they do.,5,1,0
"I am really good at setting goals for others, but not for myself.",5,1,0
"When things don’t go the way they are suppose to, I get stressed.",5,1,0
" When I reflect on the way I act at work, I can see that I follow procedures and rules.",6,1,1
" When I reflect on the way I act at work, I can see that I speak out against unfair practices.",6,1,1
" When I reflect on the way I act at work, I can see that I seek to protect each individual’s dignity.",6,1,1
" When I reflect on the way I act at work, I can see that I am concerned when individuals or groups have advantages compared to others.",6,1,1
When I have to resolve an ethical dilemma I check the legal and regulatory clauses that might apply.,6,1,1
When I have to resolve an ethical dilemma I conduct an in depth fact finding.,6,1,1
My decision in the resolution of an ethical dilemma is based on the input from my superiors / HR or the organization’s procedures and rules.,6,1,1
My decision in the resolution of an ethical dilemma is based on greater social justice.,6,1,1
"When I have to resolve an ethical dilemma, I will allow HR to do the fact finding.",6,1,0
"I will do whatever is required to get the job done, even it means bending the pre-agreed rules.",6,1,0
"When faced with a conflict, I will always decide on what works best for me and my best interest.",6,1,0
"Ethics is a luxury for others to be concerned about, I have a job to do and results to deliver.",6,1,0
I will follow up and take action when objectives are not attained to ensure future success.,7,2,1
I have the ability to recognise what goals are important and why and what needs to be done to achieve these goals.,7,2,1
I would utilise a timely and well-organized strategy to attain the required results.,7,2,1
I would use project management tools and practices to keep projects on track and within budget. ,7,2,1
I would effectively engage team members in accomplishing goals.,7,2,1
I would establish clear and ambitious goals for myself and others.,7,2,1
I have a track record of consistently achieving the results expected.,7,2,1
I accept responsibility and ownership for the outcomes.,7,2,1
I pride myself on the activities done and hope the results will be achieved.,7,2,0
I am perfectly fine if the expected results are not achieved. ,7,2,0
I often delegate my work to the team to achieve the results required.,7,2,0
I consciously work to cultivate values and create an environment of open and honest communication to make my work possible,8,2,1
I am purposefully driven in undertaking any task given to me.,8,2,1
